ID,Question,Answer
86,"Unlike other species of this polar bird, the emperor breeds in the winter months of May & June",Penguin
87,"The ""rainbow"" on this fish is a band of red on each of its sides",Trout
88,This pigeon relative is named for its sad cooing sound,Mourning dove
89,"The ""black"" species of this large horned mammal can grasp twigs with its upper lip",Rhinoceros
90,This colorful eagle is unpopular with U.S. sheep ranchers because it preys on rams,Golden eagle
91,"Sadly, this ""giant"" bearlike mammal of China is on the endangered list",Giant panda
92,Among the largest flying birds are the California & Andean species of these,Condor
93,This domesticated pack animal & its relative the alpaca were referred to as Peruvian sheep by the Spanish,Llama
94,The AKC classifies the miniature schnauzer as a breed within this dog group,Terrier
95,"Related to corals, this sea creature has been described as ""the best known of the so-called flower animals""",Sea anemone
96,The Tiger Swallowtail & Zebra Swallowtail are species of this insect,Butterfly
97,These medicinal worms were once used to treat headaches & mental illnesses,Leeches
98,This rodent in the genus Neotoma is named for its habit of hoarding small objects,Pack rat
99,"Also called a warrigal, this wild dog is one of the few nonmarsupial mammals of Australia",Dingo
100,This catlike carnivore of Africa is valued for its musk,Civet
101,The African rain forests are the natural habitat of these largest apes,Gorillas
102,The red kangaroo is among the largest of these pouched mammals,Marsupials
103,One of these mammals that inhabits the East Indies has a wingspan of over 5 1/2 feet,Bat
104,This spiny relative of the starfish is sometimes referred to as a sea hedgehog,Sea Urchin
105,This largest wild cat of the Americas looks similar to a leopard,Jaguar
106,World Book says this type of bear has been seen on ice chunks as far south as the Gulf of St. Lawrence,Polar Bear
107,The largest freshwater species of this reptile in the U.S. is the alligator snapper,Turtle
108,The largest species of this American marsupial is the common or Virginia species,Possum
109,This ground squirrel is distinguished from others by its striped face,Chipmunk
110,"The largest & heaviest New World monkey, its characteristic roar can be heard for about 2 miles",Howler Monkey
111,"Asia's only lions live in Gir Forest, about 200 miles northwest of Bombay in this country",India
112,The sting family of this fish has sharp poisonous dorsal spines near the tail,Ray
113,"Australia has over 300 species of these animals, including skinks, geckos & giant goannas",Lizards
114,This dark fluid is secreted by cuttlefish & other cephalopods,Ink
115,"Named for the texture of its shells, it's the largest living turtle",Leatherback
116,The silky & Yorkshire are toy breeds of this dog,Terrier
117,"Perhaps referring to its erratic behavior, the gnu is also called this",Wildebeest
118,The 2 popular breeds of dairy cattle named for Britain's 2 largest Channel Islands,Jersey & Guernsey
119,"Up to 50 feet in length, the whale species of this fish is the largest in the sea",Shark
120,"In summer, when its coat is brown, the ermine is referred to by this name",Stoat/Weasel
121,The largest of the seals is named for this largest land animal,Elephant Seal
122,1 of 2 egg-laying mammals of Australia,Duck-billed Platypus & Echidna
123,"The hide of this wild Tibetan ox is used for leather, & it's flesh is used for food",Yak
124,"With its single-twisted horn, it's known as ""the unicorn of the whale family""",Narwhal
125,"This fish, named for its ability to breathe out of water, can drown if held underwater",Lungfish
126,"Lizards & these creatures, like pythons & cobras, make up the largest group of reptiles",Snakes
127,Acacia leaves are the favorite food of this tallest mammal,Giraffe
128,"Found chiefly in Australia, the wallaby is a smaller type of this marsupial",Kangaroo
129,A white whale & a large white sturgeon prized for its caviar share this name,Beluga
130,These performing horses trained at the Spanish Riding School in Vienna are bred elsewhere for farmwork,Lipizzaner Stallions
131,This continent is home to both pacas & alpacas,South America
132,One of these chilopoda arthropods has as many as 177 pairs of legs; most have 15 to 23 pairs,Centipede
133,"A female one of the gypsy species of this insect can lay over 1,000 eggs at one time",Moth
134,"To count a pair of these carnivorous sea snails, say ""A-one-an-a-two""",Whelks
135,The domestic one of these evolved from the mouflon & urial,Sheep
136,Rattlesnakes belong to the pit group of this snake family,vipers
137,"The silvery blue, the spring azure & the common oakblue are blue-winged types of this beautiful insect",butterfly
138,This tall bird whose scientific name is Struthio camelus is nicknamed the camel bird,ostrich
139,"The Patagonian cavy, which resembles a hare, belongs to this order of mammals",rodents
140,"Found in Africa, the colobus type of this mammal often has distinctive black & white fur",monkey
141,"LIke other male bovines, adult male yaks are called these",Bulls
142,A hinny has an ass for a mother & one of these animals for a father,Horse
143,"To escape predators, many lizards break off this body part; it later regenerates",Tail
144,These stinging arachnids give birth to live young which cling to their mother's backs for several days,Scorpions
145,"This bear-like carnivore, a large member of the weasel family, is also known as the glutton",Wolverine
146,"This ""masked"" North American mammal is related to the giant & lesser pandas of Asia",raccoon
147,This African river mammal's tusks were once used for false teeth because they didn't yellow,hippopotami (hippo)
148,"Fallow, marsh & white-tailed are species of this mammal",deer
149,"This Australian dog rarely barks, but howls like a coyote",dingo
150,The Adelie species of this bird was named for the wife of French explorer Dumont d'Urville,penguin
151,"In the marsupial mole, hearing & this sense are poorly developed",Sight
152,"In the mistaken belief that it washes its food, it was given the scientific name lotor, meaning ""washer""",Raccoon
153,The Indian species of this cobra killer can be tamed when young,Mongoose
154,"In this type of crab, the male has a large claw & waves it like a violinist's bow",Fiddler crab
155,"Extinct for hundreds of years, the elephant bird weighed 1,000 pounds & lived on this east African island",Madagascar
156,"Like its giant relative, the lesser variety of this is also a bamboo eater",Panda
157,The macropis rufus; it can lean back on its tail to free its hind feet for use as weapons,Kangaroo
158,"A few of these large bovines still exist in the wild in Tibet at elevations over 14,000 feet",Yak
159,An elephant has 5 toes on a front foot & a camel has this many,2
160,They're the tallest North American birds,Whooping Cranes
161,"The crab-eating one of these masked animals eats fish, fruit & frogs, too",raccoons
162,"Found in this state's Keys, the Key Deer is only about 2 1/2 feet tall",Florida
163,"Mason, miner & killer are 3 types of these insects",bees
164,The adjective feliform describes anything that resembles one of these animals,cat
165,Koalas & kangaroos belong to this order of mammals known for poorly developed young,marsupials
166,The robber crab is known for climbing palms to feed on these,Coconuts
167,The part of the male lyrebird that's shaped like a lyre,Tail
168,"The flying fox isn't a type of fox, but a type of this",Bat
169,In 1921 Banting & Best controlled diabetes in these animals with insulin; man came later,Dogs
170,"Called the ""King of the Terriers"", its original home was the valley of the river Aire",Airedale
171,"Like a lot of birds, the monarch butterfly does this in the winter",Migrate
172,"A camel's hump doesn't contain water, as once was thought, but this, for energy when food is scarce",Fat
173,"The only female deer with antlers, it uses them to dig in the snow for food",Reindeer
174,Marine creature whose zoological name is Hippocampus,Seahorse
175,"In the Middle Ages this insect was dedicated to the Virgin & called ""The Beetle Of Our Lady""",ladybug/ladybird beetle
176,Smaller forms of these birds are usually called doves,pigeons
177,The largest members of this phylum are the giant squids & the smallest are snails,mollusks
178,These arachnids differ from true spiders by the extreme length & thinness of their legs,Daddy Longlegs
179,"Surprisingly, the white, or beluga, species of this mammal can be found in the St. Lawrence River",whale
180,The upper part of this turtle feature is called the carapace,Shell
181,A drone bee's only purpose in life is to do this with the queen & they do it in flight,Mate
182,The bulldog is a symbol of this country where it was developed,England
183,"Of sight, hearing, or smell, the sense that is best developed in most seals",Sight
184,"The 2 species of camel are the Arabian, also called the dromedary & this",Bactrian (2-Humped)
185,A bat's hands serve as these,Wings
186,On a true sole both of these are on the right side of the head,Eyes
187,Lizard that's noted for its ability to walk on ceilings,Gecko
188,The South African rhebok is not an athletic shoe but a species of this,Antelope
189,"With ancestors as big as elephants, these slow beasts now just hang upside down in trees",Sloths
190,The Bush species of this is the largest land mammal in the world,an elephant
191,"In the names of cat breeds, this color follows ""British"" & ""Russian""",blue
192,"Of teeth, nails or beaks, the ones turtles don't have",teeth
193,A 7-letter word for a dog of mixed or indeterminate ancestry,a mongrel
194,2 species of these snakes native to India are the Indian & the King,a cobra
195,"Probably the 1st birds tamed, they weren't used as messengers but as meals",pigeons
196,"If Michael Jackson can't make a personal appearance, he may send Bubbles, one of these",a chimpanzee
197,The albatross' ritual for this includes preening & dancing; dinner & a movie wasn't listed,a mating ritual
198,"The Dandie Dinmont, a dog in this group, was named after a farmer who raised them in ""Guy Mannering""",the terriers
199,"Of the creatures on Earth that have legs, most of them have this many",6
200,Part of its body where you'll find a warthog's warts,its face
201,Owls are among the few birds to have these on the front of their heads,their eyes
202,Most lampreys live by attaching themselves to these,other fish
203,"When grasshoppers or other Orthoptera are stridulating, they're producing this",a song (or a sound)
204,"Varieties of these insects include bee, soldier, flower, blow & fruit",flies
205,A mosquito's hum is actually the sound made by these,its wings
206,"Though its name means ""Flemish cowherd"", a bouvier des flandres is a breed of this",dog
207,The only African bird of prey with terrestrial habits; it can't type or take dictation,the secretary bird
208,"The number of toes on the foot of a hippopotamus; especially the ones in Disney's ""Fantasia""",four
209,"Types of this aquatic creature include chimney, sheep's wool, and common bath",the sponge
210,"Skunks develop this ability before they're one month old, so watch out!",spraying foul-smelling stuff
211,"The most recent member of the ""ursus"", or bear, line is this species which headed north",polar bear
212,"Of the higher primates, the pygmy marmoset is smallest in size & this is the largest",gorilla
213,"Of the civet, otter, & badger, the mammal that's considered aquatic",otter
214,Lemurs live chiefly on The Comoros & this other island country off Africa's southeast coast,Madagascar
215,"An insect related to the housefly, but wingless, is the largest land animal native to this continent",Antarctica
216,"In buildings, Norway variety of this animal tends to live on lower floors while black kind lives upstairs",rats
217,"Used in medical research which established Rh factor, their export is now banned by India",rhesus monkeys
218,The gavial looks very much like a crocodile except for this bodily feature,the nose or snout
219,"With an estimated weight of over 2 tons, the largest nest on record was built by these birds",bald eagles
220,"Of African killer bees or common honeybees, the ones who've killed more people in the U.S.",common honeybees
221,"The bedbug hunter is called ""The Kissing Bug"" because it bites its victims here",on the lips (or around the mouth)
222,"Australia's maned goose operates under an alias; it's really one of these ""daffy"" creatures",a duck
223,"Legend says a canis latrans, one of these raised Pecos Bill & taught him how to howl at the moon",a coyote
224,"New Zealanders used to raise red deer for these, which were ground & used as aphrodisiacs",their horns (or antlers)
225,Don't kick an adult male of these duck-billed creatures in the ankle; he's got a poisoned spur,duck-billed platypus
226,"""Odobenus rosmarus"", Latin name for this Arctic tusked mammal, means ""one who walks with his teeth""",walrus
227,The Bible states it was upon this color of ass that great personages preferred to ride,white
228,"Part of the witches' brew recipe in ""Macbeth"" was a pinch of this amphibian's eye",eye of newt
229,"Shellfish are not fish, but members of 2 invertebrate classifications, of which this is 1",mollusks or crustaceans
230,"Even in the wild, this largest of apes takes a midday nap",gorilla
231,Name for both Chinese gooseberry & people of New Zealand comes from this bird,kiwi
232,"The only 2 venomous species of lizards, Gila monsters & beaded lizard, are native to this continent",North America
233,Cat-like animal raised for the secretions it produces which are used to make perfumes,civet
234,"According to New York's Bronx Zoo, it's ""the most dangerous animal in the world""",man
235,"""Sly"" creature sought by sportsmen riding to hounds",a fox
236,"The ""ship of the desert""",a camel
237,"The children are poults, the mothers, hens & the fathers,toms",turkeys
238,Name of the sport of hunting birds with other birds,falconry
239,Floating sea creature named by sailors for the Iberian fighting ship it resembles,the Portuguese man-of-war
240,"Scooby-Doo, Goofy & Pluto are cartoon versions",dogs
241,"""Eager"" animal that symbolizes Canada",the beaver
242,"They include killers, humpbacks & sperms",whales
243,Tibetan ox used to carry travelers and mail,a yak
244,These rodents first got to America by stowing away on ships,rats
245,"There are about 40,000 muscles & tendons in this part of an elephant's body",the trunk
246,"When husbands ""pop"" for an ermine coat, they're actually buying this fur",a weasel
247,"Close relative of the pig, though its name means ""river horse""",the hippopotamus
248,"If this species of hybrid's parents were reversed, you'd get a hinny",a mule
